Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
IPCA;2021-09-21;2/2023;0,744;0,7317;0,162;0,4306;1,2552;77;1
IPCA;2021-09-21;3/2021;2,8466;2,8974;0,1787;2,1496;3,0717;130;0
IPCA;2021-09-21;4/2021;1,523;1,5073;0,1905;1,1342;2,1045;129;0
IPCA;2021-09-21;1/2022;1,2565;1,2048;0,2248;0,621;1,7398;121;0
IPCA;2021-09-21;2/2022;0,7604;0,797;0,2809;0,1393;1,5035;120;0
IPCA;2021-09-21;3/2022;0,8646;0,8624;0,208;0,0588;1,4775;119;0
IPCA;2021-09-21;4/2022;1,1758;1,2047;0,2281;0,4397;1,8509;119;0
IPCA;2021-09-21;1/2023;1,0703;1,0629;0,1779;0,6012;1,6591;81;0
IPCA;2021-09-21;2/2023;0,7426;0,7267;0,1614;0,4306;1,2552;78;0
IPCA;2021-09-22;3/2021;2,8543;2,9178;0,1823;2,1496;3,0717;123;1
IPCA;2021-09-22;4/2021;1,5324;1,5074;0,1922;1,1342;2,1045;122;1
IPCA;2021-09-22;1/2022;1,2566;1,2048;0,2203;0,621;1,7398;115;1
IPCA;2021-09-22;2/2022;0,7505;0,787;0,2792;0,1393;1,3558;114;1
IPCA;2021-09-22;3/2022;0,8642;0,8624;0,2118;0,0588;1,4775;113;1
IPCA;2021-09-22;4/2022;1,1806;1,2047;0,2284;0,4397;1,8509;113;1
IPCA;2021-09-22;1/2023;1,0752;1,0631;0,1699;0,6413;1,6591;80;1
IPCA;2021-09-22;2/2023;0,746;0,7368;0,1617;0,4306;1,2552;78;1
IPCA;2021-09-22;3/2021;2,8495;2,8974;0,179;2,1496;3,0717;131;0
IPCA;2021-09-22;4/2021;1,5263;1,5073;0,1957;1,1342;2,1045;130;0
IPCA;2021-09-22;1/2022;1,2626;1,2148;0,2216;0,621;1,7398;122;0
IPCA;2021-09-22;2/2022;0,7568;0,7919;0,2815;0,1393;1,5035;121;0
