Indicador;Data;DataReferencia;Media;Mediana;DesvioPadrao;Minimo;Maximo;numeroRespondentes;baseCalculo
Câmbio;2024-10-11;02/2026;5,3516;5,325;0,2011;4,9;5,8;38;1
Câmbio;2024-10-11;02/2026;5,3628;5,35;0,21;4,7;6,0;97;0
Taxa de desocupação;2024-10-11;02/2026;7,2231;7,1;0,5523;6,04;8,2;13;1
Taxa de desocupação;2024-10-11;02/2026;7,3645;7,4;0,5322;6,04;8,2;23;0
IPCA Livres;2024-10-11;02/2026;0,5403;0,55;0,2012;0,1;0,9127;18;1
IPCA Livres;2024-10-11;02/2026;0,5475;0,55;0,144;0,1;0,9127;60;0
IPCA Serviços;2024-10-11;02/2026;0,8712;0,9;0,2041;0,3;1,1;17;1
IPCA Serviços;2024-10-11;02/2026;0,8605;0,86;0,1772;0,3;1,17;56;0
IPCA Bens industrializados;2024-10-11;02/2026;0,2285;0,24;0,0657;0,07;0,31;15;1
IPCA Bens industrializados;2024-10-11;02/2026;0,252;0,25;0,1004;0,0;0,5;55;0
IPCA Alimentação no domicílio;2024-10-11;02/2026;0,3884;0,395;0,1808;0,09;0,7;14;1
IPCA Alimentação no domicílio;2024-10-11;02/2026;0,3951;0,385;0,2165;0,0;1,12;54;0
IPCA Administrados;2024-10-11;02/2026;0,3698;0,3;0,1635;0,2;0,87;16;1
IPCA Administrados;2024-10-11;02/2026;0,3462;0,3;0,1768;-0,14;0,931;63;0
IGP-M;2024-10-11;01/2026;0,3748;0,355;0,0947;0,2877;0,68;22;1
IGP-M;2024-10-11;01/2026;0,3677;0,36;0,11;0,03;0,7;54;0
IPCA;2024-10-11;01/2026;0,3945;0,395;0,0879;0,2;0,6;42;1
IPCA;2024-10-11;01/2026;0,3854;0,39;0,1003;0,0656;0,6836;105;0
Câmbio;2024-10-11;01/2026;5,3564;5,35;0,1903;4,9;5,7;39;1
Câmbio;2024-10-11;01/2026;5,3648;5,35;0,2018;4,7;6,0;98;0
Taxa de desocupação;2024-10-11;01/2026;7,025;7,05;0,47;6,04;7,8;14;1
Taxa de desocupação;2024-10-11;01/2026;7,2143;7,2;0,4928;6,04;8,2;43;0
IPCA Livres;2024-10-11;01/2026;0,4299;0,43;0,0931;0,2315;0,607;18;1
IPCA Livres;2024-10-11;01/2026;0,3944;0,4;0,0939;0,2;0,607;60;0
IPCA Serviços;2024-10-11;01/2026;0,3344;0,34;0,1147;0,1;0,53;17;1
IPCA Serviços;2024-10-11;01/2026;0,3203;0,32;0,1203;0,02;0,62;56;0
IPCA Bens industrializados;2024-10-11;01/2026;0,2424;0,24;0,0782;0,14;0,46;15;1
IPCA Bens industrializados;2024-10-11;01/2026;0,2311;0,245;0,0984;-0,0239;0,46;54;0
IPCA Alimentação no domicílio;2024-10-11;01/2026;0,7413;0,74;0,2946;0,2282;1,43;14;1
IPCA Alimentação no domicílio;2024-10-11;01/2026;0,7593;0,77;0,3328;0,0;1,81;55;0
IPCA Administrados;2024-10-11;01/2026;0,2982;0,315;0,1476;-0,12;0,47;16;1
IPCA Administrados;2024-10-11;01/2026;0,3231;0,34;0,1719;-0,27;0,68;63;0
IGP-M;2024-10-11;12/2025;0,3445;0,35;0,2022;-0,2533;0,7913;29;1
IGP-M;2024-10-11;12/2025;0,3654;0,35;0,1794;-0,2533;0,98;65;0
IPCA;2024-10-11;12/2025;0,4838;0,4867;0,115;-0,0794;0,6772;53;1
IPCA;2024-10-11;12/2025;0,468;0,47;0,118;-0,0794;0,8373;133;0
Câmbio;2024-10-11;12/2025;5,361;5,37;0,1754;4,94;5,7;44;1
Câmbio;2024-10-11;12/2025;5,3735;5,4;0,1819;4,7;6,0;121;0
Taxa de desocupação;2024-10-11;12/2025;6,97;6,9;0,5875;6,0;8,3;18;1
Taxa de desocupação;2024-10-11;12/2025;7,0688;7,015;0,6334;5,7;8,9;64;0
IPCA Livres;2024-10-11;12/2025;0,5619;0,57;0,1527;0,2286;0,78;23;1
IPCA Livres;2024-10-11;12/2025;0,5522;0,5622;0,1871;-0,3386;1,0512;82;0
