;Unnamed: 0;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais
2846;2846;2020-07-01;MasterCard;Crédito;Outros;15813410;5375630;57889037;5966606212,51;104455;11027647,69
2847;2847;2016-04-01;VISA;Crédito;Empresarial;1671200;841148;13161396;3581439650,98;422121;168335428,38
2848;2848;2013-10-01;Diners Club;Crédito;Premium;8;5;24;3618,33;2;458,43
2849;2849;2011-07-01;Cheque Eletrônico;Débito;Outros;2507930;741575;105146;10911460,79;0;0,0
2850;2850;2015-10-01;Outras;Crédito;Básico Nacional;1306765;264350;118609;83596467,62;0;0,0
2851;2851;2015-07-01;VISA;Crédito;Platinum;5403248;3811601;138833866;18139347394,44;3978883;1027569001,64
2852;2852;2023-01-01;Elo;Pré-Pago;Outros;33936593;1715001;1079696;46551138,57;0;0,0
2853;2853;2023-04-01;Elo;Débito;Básico Nacional;204562242;42501827;929463242;54039769642,77;0;0,0
2854;2854;2016-07-01;VISA;Débito;Platinum;1706265;1092688;31418858;2535551612,01;1951;357071,23
2855;2855;2019-04-01;VISA;Débito;Outros;19;4;6;464,5;0;0,0
2856;2856;2016-01-01;VISA;Débito;Outros;10458;10458;14791;997500,22;9;564,29
2857;2857;2024-04-01;MasterCard;Pré-Pago;Empresarial;3894245;888244;40821795;2327552872,19;4287;786726,74
2858;2858;2015-01-01;VISA;Débito;Básico Internacional;125250275;36972509;536929058;33790192753,81;144943;20079651,38
2859;2859;2024-01-01;VISA;Crédito;Corporativo;638024;358295;5854214;2508559262,61;309554;297797031,77
2860;2860;2013-01-01;MasterCard;Débito;Platinum;1068879;473749;6565704;487686076,49;16067;4776280,31
2861;2861;2023-07-01;MasterCard;Débito;Empresarial;2190915;692544;14482146;940794060,56;13;4419,28
2862;2862;2014-04-01;MasterCard;Crédito;Platinum;4091076;2454948;79537677;10335449613,32;3402465;717567387,31
2863;2863;2017-10-01;VISA;Débito;Básico Internacional;113150141;27550239;557510138;36883879409,99;190383;13265328,57
2864;2864;2015-01-01;Diners Club;Crédito;Empresarial;403;291;2950;1214195,87;178;412702,81
2865;2865;2012-10-01;MasterCard;Débito;Intermediário;903515;354083;7071626;503105051,92;4935;1255291,84
2866;2866;2019-10-01;American Express;Crédito;Platinum;472201;382135;11773038;2822928641,07;597645;418185757,83
2867;2867;2019-10-01;VISA;Pré-Pago;Outros;4969095;2781556;15278305;961900862,68;172753;34693847,78
2868;2868;2023-04-01;Outras;Crédito;Básico Internacional;97834;81501;38129;14120840,05;5;1246,96
2869;2869;2021-10-01;VISA;Débito;Premium;639171;319451;10906614;1197767263,73;394;94157,21
2870;2870;2014-04-01;VISA;Débito;Básico Internacional;132490427;36408683;512237231;31045111422,02;199159;21845793,21
2871;2871;2012-07-01;Elo;Crédito;Básico Nacional;1389567;285689;1742880;88522491,52;0;0,0
2872;2872;2024-01-01;Elo;Débito;Outros;144033;90123;386491;43464342,98;0;0,0
2873;2873;2019-04-01;Elo;Crédito;Intermediário;904;244;1688;270772,94;4;671,55
2874;2874;2021-01-01;Elo;Pré-Pago;Básico Nacional;4073970;171498;437553;28076528,78;62;8905,27
2875;2875;2019-01-01;VISA;Débito;Premium;398266;219177;5700293;563416705,53;467;109347,5
2876;2876;2023-10-01;MasterCard;Crédito;Básico Internacional;98722960;28290681;344581218;35272863088,95;702369;109787300,91
2877;2877;2019-04-01;MasterCard;Pré-Pago;Intermediário;1550667;594365;6613190;277537877,17;0;0,0
2878;2878;2019-01-01;VISA;Crédito;Intermediário;7111789;5200438;158752580;19107305489,81;2175024;585158435,23
2879;2879;2016-07-01;MasterCard;Pré-Pago;Básico Nacional;7351;3058;107221;4445998,26;0;0,0
2880;2880;2015-01-01;MasterCard;Crédito;Empresarial;1042620;525846;7670878;1900614669,0;289076;120136708,3
2881;2881;2021-01-01;MasterCard;Pré-Pago;Básico Nacional;68261;29173;124912;74853188,66;0;0,0
2882;2882;2014-10-01;Elo;Débito;Outros;26896125;8746591;74292010;4433656517,15;0;0,0
2883;2883;2022-07-01;VISA;Pré-Pago;Corporativo;963284;102153;3975189;436510874,54;285175;91845472,8
2884;2884;2018-04-01;Elo;Débito;Outros;53328019;21017457;243638788;13947541445,48;0;0,0
2885;2885;2013-10-01;MasterCard;Débito;Básico Nacional;2531147;748944;12518813;770902938,72;77;23624,77
2886;2886;2012-10-01;VISA;Crédito;Empresarial;1848881;822657;11142667;4064488787,19;374656;164579569,71
2887;2887;2021-07-01;MasterCard;Crédito;Outros;18330248;6299101;77667820;7990023727,08;100827;14019991,03
2888;2888;2014-10-01;MasterCard;Débito;Básico Internacional;112453242;39085829;654385966;40414007332,63;181097;46044800,31
2889;2889;2023-01-01;MasterCard;Pré-Pago;Empresarial;2721209;964317;28591245;1898412222,47;7897;1533988,47
2890;2890;2015-07-01;VISA;Crédito;Intermediário;7483179;5384207;126214133;15646486311,97;3080731;723340301,16
2891;2891;2018-04-01;Bandeira própria;Pré-Pago;Outros;264662;63307;46047;1423023,43;43758;1385650,19
2892;2892;2024-04-01;Hipercard;Crédito;Intermediário;398;15;92;8842,56;1;0,01
2893;2893;2013-01-01;Outras;Crédito;Básico Nacional;805902;249938;65326;37666878,35;0;0,0
2894;2894;2021-07-01;VISA;Crédito;Platinum;8069894;5706368;226667268;34644167014,9;1349433;475284386,31
2895;2895;2019-04-01;MasterCard;Crédito;Básico Internacional;22996692;14707519;278275690;25578298379,14;1747612;293020775,67
2896;2896;2013-04-01;VISA;Crédito;Outros;3020662;883858;5616672;527373575,24;89873;9793301,75
2897;2897;2013-01-01;Elo;Débito;Outros;7463152;2188676;11899636;669753509,22;0;0,0
2898;2898;2013-07-01;VISA;Crédito;Outros;3025232;754592;5823137;570896303,78;104347;10863300,7
2899;2899;2023-10-01;VISA;Crédito;Outros;1964688;1018641;9442097;1962930591,32;136198;128952366,43
2900;2900;2020-01-01;VISA;Crédito;Básico Internacional;21879460;13504239;221242630;19704622930,44;1210942;195402385,01
2901;2901;2012-04-01;MasterCard;Crédito;Básico Internacional;13351453;8244397;110497970;10621478533,66;2105248;257707484,84
2902;2902;2014-01-01;VISA;Crédito;Corporativo;498851;246794;3341916;1316256104,29;207237;109372511,19
2903;2903;2015-04-01;Bandeira própria;Débito;Outros;1412512;387004;2400781;145477066,22;25424;605854,65
2904;2904;2018-10-01;Elo;Débito;Básico Internacional;24936707;8284040;221428045;12280899400,41;0;0,0
2905;2905;2016-07-01;Diners Club;Crédito;Intermediário;226756;204241;4013240;637408466,26;47387;17684589,66
2906;2906;2020-01-01;Hipercard;Crédito;Empresarial;2002;1462;10936;5571694,55;1;0,01
2907;2907;2018-01-01;VISA;Débito;Básico Internacional;114765863;28611097;557301224;35555642079,53;133706;13378995,51
2908;2908;2023-07-01;MasterCard;Pré-Pago;Empresarial;3313753;815649;34186472;2047711162,95;9281;1609006,84
2909;2909;2017-07-01;MasterCard;Crédito;Empresarial;1158117;813330;10555562;2258676227,58;320861;168616901,78
2910;2910;2018-04-01;VISA;Débito;Platinum;1712632;1137374;37647824;3005602560,36;1518;267916,33
2911;2911;2022-10-01;VISA;Crédito;Empresarial;2559216;1681020;46845645;12457878609,77;447645;392005239,0
2912;2912;2015-01-01;Elo;Crédito;Empresarial;85978;34510;323174;85375953,91;0;0,0
2913;2913;2011-10-01;MasterCard;Débito;Premium;134718;65100;696584;62615991,3;7803;2499061,43
2914;2914;2011-07-01;Outras;Crédito;Outros;2413446;396225;1153799;164137528,49;16;2659,74
2915;2915;2021-10-01;VISA;Débito;Corporativo;315351;3;1;12450,07;2;44,72
2916;2916;2012-07-01;MasterCard;Débito;Platinum;1035697;455110;6059093;435961620,95;14052;4003525,76
2917;2917;2022-04-01;Outras;Débito;Outros;3467849;1879740;43138415;4188472409,69;0;0,0
2918;2918;2022-01-01;Elo;Crédito;Básico Internacional;4674999;2784213;45325172;7592974343,36;47510;23958122,71
2919;2919;2014-01-01;VISA;Débito;Platinum;1543763;933095;23097061;1832919667,18;4;1739,29
2920;2920;2017-07-01;Elo;Crédito;Outros;542943;191676;2509072;231536207,87;0;0,0
2921;2921;2012-01-01;VISA;Débito;Básico Internacional;134476423;35137240;439221300;24454826053,17;209388;22661314,49
2922;2922;2022-01-01;Elo;Crédito;Outros;4171284;1936903;38789091;4875419385,53;44493;25371833,35
2923;2923;2019-07-01;Elo;Crédito;Intermediário;3750;1835;28432;4434314,74;10;4649,24
2924;2924;2016-04-01;VISA;Crédito;Premium;658027;485722;33654320;5574436568,76;1219475;431638821,92
2925;2925;2019-01-01;MasterCard;Débito;Básico Internacional;111688787;42415456;1045447980;61660473989,71;180649;43884231,4
2926;2926;2017-04-01;VISA;Crédito;Empresarial;966375;668247;13087627;2983713554,38;406854;192991166,75
