;localidade_nome;serie
489;Minas Gerais;201105
490;Minas Gerais;201106
491;Minas Gerais;201107
492;Minas Gerais;201108
493;Minas Gerais;201109
494;Minas Gerais;201110
495;Minas Gerais;201111
496;Minas Gerais;201112
497;Minas Gerais;201201
498;Minas Gerais;201202
499;Minas Gerais;201203
500;Minas Gerais;201204
501;Minas Gerais;201205
502;Minas Gerais;201206
503;Minas Gerais;201207
504;Minas Gerais;201208
505;Minas Gerais;201209
506;Minas Gerais;201210
507;Minas Gerais;201211
508;Minas Gerais;201212
509;Minas Gerais;201301
510;Minas Gerais;201302
511;Minas Gerais;201303
512;Minas Gerais;201304
513;Minas Gerais;201305
514;Minas Gerais;201306
515;Minas Gerais;201307
516;Minas Gerais;201308
517;Minas Gerais;201309
518;Minas Gerais;201310
519;Minas Gerais;201311
520;Minas Gerais;201312
521;Minas Gerais;201401
522;Minas Gerais;201402
523;Minas Gerais;201403
524;Minas Gerais;201404
525;Minas Gerais;201405
526;Minas Gerais;201406
527;Minas Gerais;201407
528;Minas Gerais;201408
529;Minas Gerais;201409
530;Minas Gerais;201410
531;Minas Gerais;201411
532;Minas Gerais;201412
533;Minas Gerais;201501
534;Minas Gerais;201502
535;Minas Gerais;201503
536;Minas Gerais;201504
537;Minas Gerais;201505
538;Minas Gerais;201506
539;Minas Gerais;201507
540;Minas Gerais;201508
541;Minas Gerais;201509
542;Minas Gerais;201510
543;Minas Gerais;201511
544;Minas Gerais;201512
545;Minas Gerais;201601
546;Minas Gerais;201602
547;Minas Gerais;201603
548;Minas Gerais;201604
549;Minas Gerais;201605
550;Minas Gerais;201606
551;Minas Gerais;201607
552;Minas Gerais;201608
553;Minas Gerais;201609
554;Minas Gerais;201610
555;Minas Gerais;201611
556;Minas Gerais;201612
557;Minas Gerais;201701
558;Minas Gerais;201702
559;Minas Gerais;201703
560;Minas Gerais;201704
561;Minas Gerais;201705
562;Minas Gerais;201706
563;Minas Gerais;201707
564;Minas Gerais;201708
565;Minas Gerais;201709
566;Minas Gerais;201710
567;Minas Gerais;201711
568;Minas Gerais;201712
569;Minas Gerais;201801
570;Minas Gerais;201802
571;Minas Gerais;201803
572;Minas Gerais;201804
573;Minas Gerais;201805
574;Minas Gerais;201806
575;Minas Gerais;201807
576;Minas Gerais;201808
577;Minas Gerais;201809
578;Minas Gerais;201810
579;Minas Gerais;201811
580;Minas Gerais;201812
581;Minas Gerais;201901
582;Minas Gerais;201902
583;Minas Gerais;201903
584;Minas Gerais;201904
585;Minas Gerais;201905
586;Minas Gerais;201906
587;Minas Gerais;201907
588;Minas Gerais;201908
589;Minas Gerais;201909
590;Minas Gerais;201910
591;Minas Gerais;201911
592;Minas Gerais;201912
593;Minas Gerais;202001
594;Minas Gerais;202002
595;Minas Gerais;202003
596;Minas Gerais;202004
597;Minas Gerais;202005
598;Minas Gerais;202006
599;Minas Gerais;202007
600;Minas Gerais;202008
601;Minas Gerais;202009
602;Minas Gerais;202010
603;Minas Gerais;202011
604;Minas Gerais;202012
605;Minas Gerais;202101
606;Minas Gerais;202102
607;Minas Gerais;202103
608;Minas Gerais;202104
609;Minas Gerais;202105
610;Minas Gerais;202106
611;Minas Gerais;202107
612;Minas Gerais;202108
613;Minas Gerais;202109
614;Minas Gerais;202110
615;Minas Gerais;202111
616;Minas Gerais;202112
617;Minas Gerais;202201
618;Minas Gerais;202202
619;Minas Gerais;202203
620;Minas Gerais;202204
621;Minas Gerais;202205
622;Minas Gerais;202206
623;Minas Gerais;202207
624;Minas Gerais;202208
625;Minas Gerais;202209
626;Minas Gerais;202210
627;Minas Gerais;202211
628;Minas Gerais;202212
629;Minas Gerais;202301
630;Minas Gerais;202302
631;Minas Gerais;202303
632;Minas Gerais;202304
633;Minas Gerais;202305
634;Minas Gerais;202306
635;Minas Gerais;202307
636;Minas Gerais;202308
637;Minas Gerais;202309
638;Minas Gerais;202310
639;Minas Gerais;202311
640;Minas Gerais;202312
641;Minas Gerais;202401
642;Minas Gerais;202402
643;Minas Gerais;202403
644;Minas Gerais;202404
645;Minas Gerais;202405
646;Minas Gerais;202406
647;Minas Gerais;202407
648;Espírito Santo;201102
649;Espírito Santo;201103
650;Espírito Santo;201104
651;Espírito Santo;201105
652;Espírito Santo;201106
653;Espírito Santo;201107
654;Espírito Santo;201108
655;Espírito Santo;201109
656;Espírito Santo;201110
657;Espírito Santo;201111
658;Espírito Santo;201112
659;Espírito Santo;201201
660;Espírito Santo;201202
661;Espírito Santo;201203
662;Espírito Santo;201204
663;Espírito Santo;201205
664;Espírito Santo;201206
665;Espírito Santo;201207
666;Espírito Santo;201208
667;Espírito Santo;201209
668;Espírito Santo;201210
669;Espírito Santo;201211
670;Espírito Santo;201212
671;Espírito Santo;201301
672;Espírito Santo;201302
673;Espírito Santo;201303
674;Espírito Santo;201304
675;Espírito Santo;201305
676;Espírito Santo;201306
677;Espírito Santo;201307
678;Espírito Santo;201308
679;Espírito Santo;201309
680;Espírito Santo;201310
681;Espírito Santo;201311
682;Espírito Santo;201312
683;Espírito Santo;201401
684;Espírito Santo;201402
685;Espírito Santo;201403
686;Espírito Santo;201404
687;Espírito Santo;201405
688;Espírito Santo;201406
689;Espírito Santo;201407
690;Espírito Santo;201408
691;Espírito Santo;201409
692;Espírito Santo;201410
693;Espírito Santo;201411
694;Espírito Santo;201412
695;Espírito Santo;201501
696;Espírito Santo;201502
697;Espírito Santo;201503
698;Espírito Santo;201504
699;Espírito Santo;201505
700;Espírito Santo;201506
701;Espírito Santo;201507
702;Espírito Santo;201508
703;Espírito Santo;201509
704;Espírito Santo;201510
705;Espírito Santo;201511
706;Espírito Santo;201512
707;Espírito Santo;201601
708;Espírito Santo;201602
709;Espírito Santo;201603
710;Espírito Santo;201604
711;Espírito Santo;201605
712;Espírito Santo;201606
713;Espírito Santo;201607
714;Espírito Santo;201608
715;Espírito Santo;201609
716;Espírito Santo;201610
717;Espírito Santo;201611
718;Espírito Santo;201612
719;Espírito Santo;201701
720;Espírito Santo;201702
721;Espírito Santo;201703
722;Espírito Santo;201704
723;Espírito Santo;201705
724;Espírito Santo;201706
725;Espírito Santo;201707
726;Espírito Santo;201708
727;Espírito Santo;201709
728;Espírito Santo;201710
729;Espírito Santo;201711
730;Espírito Santo;201712
731;Espírito Santo;201801
732;Espírito Santo;201802
733;Espírito Santo;201803
734;Espírito Santo;201804
735;Espírito Santo;201805
736;Espírito Santo;201806
737;Espírito Santo;201807
738;Espírito Santo;201808
739;Espírito Santo;201809
740;Espírito Santo;201810
741;Espírito Santo;201811
742;Espírito Santo;201812
743;Espírito Santo;201901
744;Espírito Santo;201902
745;Espírito Santo;201903
746;Espírito Santo;201904
747;Espírito Santo;201905
748;Espírito Santo;201906
749;Espírito Santo;201907
750;Espírito Santo;201908
751;Espírito Santo;201909
752;Espírito Santo;201910
753;Espírito Santo;201911
754;Espírito Santo;201912
755;Espírito Santo;202001
756;Espírito Santo;202002
757;Espírito Santo;202003
758;Espírito Santo;202004
759;Espírito Santo;202005
760;Espírito Santo;202006
761;Espírito Santo;202007
762;Espírito Santo;202008
763;Espírito Santo;202009
764;Espírito Santo;202010
765;Espírito Santo;202011
766;Espírito Santo;202012
767;Espírito Santo;202101
768;Espírito Santo;202102
769;Espírito Santo;202103
770;Espírito Santo;202104
771;Espírito Santo;202105
772;Espírito Santo;202106
773;Espírito Santo;202107
774;Espírito Santo;202108
775;Espírito Santo;202109
776;Espírito Santo;202110
777;Espírito Santo;202111
778;Espírito Santo;202112
779;Espírito Santo;202201
780;Espírito Santo;202202
781;Espírito Santo;202203
782;Espírito Santo;202204
783;Espírito Santo;202205
784;Espírito Santo;202206
785;Espírito Santo;202207
786;Espírito Santo;202208
787;Espírito Santo;202209
788;Espírito Santo;202210
789;Espírito Santo;202211
790;Espírito Santo;202212
791;Espírito Santo;202301
792;Espírito Santo;202302
793;Espírito Santo;202303
794;Espírito Santo;202304
795;Espírito Santo;202305
796;Espírito Santo;202306
797;Espírito Santo;202307
798;Espírito Santo;202308
799;Espírito Santo;202309
800;Espírito Santo;202310
801;Espírito Santo;202311
802;Espírito Santo;202312
803;Espírito Santo;202401
804;Espírito Santo;202402
805;Espírito Santo;202403
806;Espírito Santo;202404
807;Espírito Santo;202405
808;Espírito Santo;202406
809;Espírito Santo;202407
810;Rio de Janeiro;201102
811;Rio de Janeiro;201103
812;Rio de Janeiro;201104
813;Rio de Janeiro;201105
814;Rio de Janeiro;201106
815;Rio de Janeiro;201107
816;Rio de Janeiro;201108
817;Rio de Janeiro;201109
818;Rio de Janeiro;201110
819;Rio de Janeiro;201111
820;Rio de Janeiro;201112
821;Rio de Janeiro;201201
822;Rio de Janeiro;201202
823;Rio de Janeiro;201203
824;Rio de Janeiro;201204
825;Rio de Janeiro;201205
826;Rio de Janeiro;201206
827;Rio de Janeiro;201207
828;Rio de Janeiro;201208
829;Rio de Janeiro;201209
830;Rio de Janeiro;201210
831;Rio de Janeiro;201211
832;Rio de Janeiro;201212
833;Rio de Janeiro;201301
834;Rio de Janeiro;201302
835;Rio de Janeiro;201303
836;Rio de Janeiro;201304
837;Rio de Janeiro;201305
838;Rio de Janeiro;201306
839;Rio de Janeiro;201307
840;Rio de Janeiro;201308
841;Rio de Janeiro;201309
842;Rio de Janeiro;201310
843;Rio de Janeiro;201311
844;Rio de Janeiro;201312
845;Rio de Janeiro;201401
846;Rio de Janeiro;201402
847;Rio de Janeiro;201403
848;Rio de Janeiro;201404
849;Rio de Janeiro;201405
