;trimestre;nomeBandeira;nomeFuncao;produto;qtdCartoesEmitidos;qtdCartoesAtivos;qtdTransacoesNacionais;valorTransacoesNacionais;qtdTransacoesInternacionais;valorTransacoesInternacionais;data
662;20231;Elo;Crédito;Corporativo;23111;10040;83304;97521005,82;457;683985,41;2023-01-01
663;20242;Elo;Pré-Pago;Básico Internacional;40379133;1650602;13423056;862957325,18;5373;1220877,3;2024-04-01
664;20234;VISA;Crédito;Corporativo;620389;357167;6528534;3190411021,4;354035;309196987,84;2023-10-01
665;20241;VISA;Crédito;Básico Internacional;52974022;19508535;300937686;33703803324,77;857197;152028395,92;2024-01-01
666;20223;VISA;Pré-Pago;Básico Internacional;19987103;8017180;80893109;4250328407,8;1245168;226759923,94;2022-07-01
667;20234;MasterCard;Débito;Intermediário;84597279;48034484;1095660740;55311877698,69;35814;7119469,76;2023-10-01
668;20224;VISA;Crédito;Básico Internacional;36778846;18195111;287045091;31809117945,2;755230;156003645,43;2022-10-01
669;20231;MasterCard;Débito;Outros;772250;257001;4210948;200069387,23;1114;479701,52;2023-01-01
670;20242;MasterCard;Pré-Pago;Premium;503101;196710;6165254;394859692,91;0;0,0;2024-04-01
671;20232;VISA;Débito;Básico Nacional;84468354;26068815;570438795;36004680781,96;3997;403738,12;2023-04-01
672;20232;MasterCard;Crédito;Platinum;17820606;12803503;469488226;59256394482,19;3697977;940328403,55;2023-04-01
673;20234;Elo;Crédito;Empresarial;543737;357028;7903139;2888629661,94;14037;9085898,37;2023-10-01
674;20221;MasterCard;Pré-Pago;Básico Nacional;261944;192244;1100579;109119543,01;6168;585225,27;2022-01-01
675;20241;Elo;Crédito;Intermediário;9526066;2970311;51753862;5894173006,27;27087;3997899,03;2024-01-01
676;20211;Elo;Pré-Pago;Outros;168028;24377;255527;18631510,34;40;2297,93;2021-01-01
677;20222;Elo;Pré-Pago;Básico Internacional;4941285;3207392;21453496;969180739,84;894;220489,06;2022-04-01
678;20212;MasterCard;Pré-Pago;Outros;19493446;5065982;27434641;1612096833,4;185146;28749390,44;2021-04-01
679;20204;Bandeira própria;Pré-Pago;Outros;368936;202961;707007373;1259861051,05;0;0,0;2020-10-01
680;20204;Outras;Débito;Outros;3505501;1855859;45575624;4329106047,43;0;0,0;2020-10-01
681;20224;MasterCard;Débito;Platinum;961584;621391;17606170;1368961778,04;5690;2361993,08;2022-10-01
682;20232;VISA;Crédito;Outros;1788175;933140;8010154;1318978076,0;96050;91935312,09;2023-04-01
683;20234;VISA;Pré-Pago;Básico Nacional;15482331;4045034;65613653;3793445200,57;1203;118855,25;2023-10-01
684;20231;Elo;Crédito;Intermediário;7641123;2399175;39824248;4654701656,31;14456;3051831,67;2023-01-01
685;20202;Outras;Crédito;Outros;292574;179161;93810;23481105,08;6;1203,33;2020-04-01
686;20241;VISA;Pré-Pago;Empresarial;1154087;352970;3464590;224896206,87;24012;5876502,21;2024-01-01
687;20234;VISA;Pré-Pago;Corporativo;1739585;176816;4793506;726991363,18;430532;116974060,31;2023-10-01
688;20213;Hipercard;Crédito;Intermediário;5625;1937;22806;2071973,37;1;0,01;2021-07-01
689;20221;Elo;Crédito;Básico Internacional;4674999;2784213;45325172;7592974343,36;47510;23958122,71;2022-01-01
690;20223;Hipercard;Crédito;Intermediário;407;20;16424;1677314,88;2;0,02;2022-07-01
691;20231;MasterCard;Pré-Pago;Premium;193063;94851;2451507;153629772,32;0;0,0;2023-01-01
692;20224;MasterCard;Pré-Pago;Básico Nacional;267291;150985;1311036;113685123,17;6239;544973,41;2022-10-01
693;20223;VISA;Débito;Premium;683512;369462;11857794;1197950232,76;494;107908,32;2022-07-01
694;20222;Elo;Crédito;Básico Nacional;3057908;1977552;61626365;6997766555,02;41871;18439494,43;2022-04-01
695;20221;Elo;Pré-Pago;Intermediário;6536450;131193;532172;36497916,85;0;0,0;2022-01-01
696;20204;MasterCard;Crédito;Platinum;9520356;7805711;270219065;36856129190,01;1685680;436247085,73;2020-10-01
697;20231;Elo;Crédito;Básico Nacional;3662074;2278916;66237052;7662613574,76;45502;21357926,78;2023-01-01
698;20232;VISA;Crédito;Básico Nacional;25200162;11149831;230138361;22247511826,7;274556;46019616,9;2023-04-01
699;20233;MasterCard;Crédito;Empresarial;6354153;2940196;49774447;14740091973,07;763440;466531339,59;2023-07-01
700;20222;MasterCard;Débito;Intermediário;75117751;48408316;876822309;49287247581,23;37556;7784526,69;2022-04-01
701;20204;MasterCard;Débito;Intermediário;49637886;31676761;661181544;43905659927,05;16106;4404614,83;2020-10-01
702;20203;VISA;Crédito;Básico Internacional;22930536;12994900;202064557;19995104172,95;642390;92868602,81;2020-07-01
703;20201;MasterCard;Crédito;Empresarial;2018274;1463748;18791295;4353719240,46;354180;224748962,58;2020-01-01
704;20212;Outras;Débito;Outros;3461436;1836290;40228654;3854805376,58;0;0,0;2021-04-01
705;20212;Elo;Crédito;Empresarial;489669;258321;5021614;1232325125,05;5450;2467065,03;2021-04-01
706;20211;VISA;Débito;Premium;557093;287233;7112044;797685485,12;124;48506,6;2021-01-01
707;20231;Hipercard;Crédito;Intermediário;403;18;110;8767,99;1;0,01;2023-01-01
708;20242;Elo;Crédito;Platinum;184301;123397;3502656;526356733,82;5467;1404945,46;2024-04-01
